pass,dir,pulse_us,cx,cy,area,valid,deg
1,-1,1250,106.83,361.905,1683.5,1,-21.9795
2,1,1250,96.6194,362.001,1694.5,1,-22.3593
2,1,1260,107.856,362.018,1686,1,-21.9413
2,1,1270,124.095,362.347,1675,1,-21.3327
2,1,1280,143.161,362.32,1633.5,1,-20.6117
2,1,1290,191.307,362.478,1608.5,1,-18.7607
2,1,1300,197.181,361.791,1593.5,1,-18.5319
2,1,1310,223.12,362.057,1552.5,1,-17.5146
2,1,1320,255.475,362.207,1532,1,-16.2296
2,1,1330,274.632,362.055,1507,1,-15.4606
2,1,1340,295.061,361.964,1502,1,-14.6343
2,1,1350,324.382,361.962,1449.5,1,-13.4374
2,1,1360,336.631,362.14,1433.5,1,-12.9338
2,1,1370,364.522,361.807,1429,1,-11.7795
2,1,1380,399.168,361.64,1409,1,-10.3321
2,1,1390,406.573,361.815,1390,1,-10.021
2,1,1400,427.715,361.913,1376,1,-9.1294
2,1,1410,462.409,361.373,1357,1,-7.65676
2,1,1420,487.024,361.456,1344.5,1,-6.6056
2,1,1430,505.359,361.224,1354,1,-5.81967
2,1,1440,534.211,361.484,1318.5,1,-4.57862
2,1,1450,552.252,361.256,1317.5,1,-3.80033
2,1,1460,577.511,361.148,1322,1,-2.70833
2,1,1470,600.016,360.905,1309,1,-1.73371
2,1,1480,619.902,360.897,1294.5,1,-0.871633
2,1,1490,651.283,360.585,1284.5,1,0.48938
2,1,1500,656.289,360.319,1280.5,1,0.70648
2,1,1510,691.625,355.884,917.5,1,2.23799
2,1,1520,720.737,359.06,1225,1,3.49746
2,1,1530,732.422,359.884,1266.5,1,4.00209
2,1,1540,762.356,359.817,1334,1,5.29186
2,1,1550,785.822,359.189,1352.5,1,6.29926
2,1,1560,799.791,359.405,1366,1,6.89713
2,1,1570,825.576,359.235,1370,1,7.99666
2,1,1580,844.958,359.078,1387.5,1,8.81935
2,1,1590,869.215,358.663,1401,1,9.84372
2,1,1600,893.728,358.388,1428,1,10.8725
2,1,1610,917.47,358.343,1421,1,11.8623
2,1,1620,944.137,357.784,1455.5,1,12.9654
2,1,1630,973.103,357.344,1497.5,1,14.1527
2,1,1640,983.144,357.085,1515.5,1,14.5614
2,1,1650,1007.14,356.806,1524.5,1,15.532
2,1,1660,1034.85,356.615,1519,1,16.6417
2,1,1670,1066,356.155,1592,1,17.8738
2,1,1680,1087.95,355.566,1627,1,18.7318
2,1,1690,1121.45,355.336,1670.5,1,20.0245
2,1,1700,1142.32,354.898,1651,1,20.8198
2,1,1710,1165.77,354.488,1681.5,1,21.7031
2,1,1720,1191.03,353.959,1727.5,1,22.6424
2,1,1730,1209.24,353.607,1721.5,1,23.3118
2,1,1740,1241.97,353.095,1735.5,1,24.4985
2,1,1750,1270.11,352.383,747.5,1,25.5008
2,-1,1750,1269.79,351.039,764.5,1,25.4894
2,-1,1740,1264.82,351.161,1261,1,25.3138
2,-1,1730,1246.94,351.518,1749,1,24.6768
2,-1,1720,1211.36,352.003,1737,1,23.3893
2,-1,1710,1189.5,352.533,1721,1,22.5862
2,-1,1700,1170.97,352.869,1674,1,21.8973
2,-1,1690,1141.47,353.132,1664,1,20.7874
2,-1,1680,1111.89,353.704,1647,1,19.6577
2,-1,1670,1087.67,354.108,1615,1,18.721
2,-1,1660,1062.71,354.511,1589,1,17.7444
2,-1,1650,1031.04,355.056,1556,1,16.4897
2,-1,1640,1012.7,355.299,1528.5,1,15.7555
2,-1,1630,989.174,355.396,1498,1,14.8061
2,-1,1620,966.595,355.871,1480.5,1,13.8869
2,-1,1610,942.788,356.272,1452.5,1,12.9098
